index,high,highTime,low,lowTime,high-low
1063,5.0,1618414153.0,5.0,1618413892.0,0.0
1065,1340.0,1618414328.0,1280.0,1618414362.0,60.0
1067,295.0,1618413865.0,126.0,1618414212.0,169.0
1069,411.0,1618414250.0,403.0,1618414244.0,8.0
1071,1550.0,1618414311.0,1461.0,1618414440.0,89.0
1073,3530.0,1618413734.0,3565.0,1618414444.0,-35.0
1075,300.0,1618413869.0,214.0,1618414182.0,86.0
1077,1261.0,1618414329.0,1160.0,1618414204.0,101.0
1079,38200.0,1618414453.0,38000.0,1618414457.0,200.0
1081,58.0,1618413979.0,57.0,1618414459.0,1.0
1083,450.0,1618414162.0,366.0,1618414215.0,84.0
1085,1679.0,1618413831.0,1481.0,1618414378.0,198.0
1087,101.0,1618412697.0,101.0,1618396516.0,0.0
1089,1009.0,1618414128.0,952.0,1618389733.0,57.0
1091,4000.0,1618414155.0,3450.0,1618414144.0,550.0
1093,38000.0,1618413799.0,37900.0,1618414444.0,100.0
1095,10.0,1618414433.0,10.0,1618414362.0,0.0
1097,327.0,1618414169.0,308.0,1618414407.0,19.0
1099,2140.0,1618414349.0,2130.0,1618414376.0,10.0
1101,158.0,1618414364.0,80.0,1618414039.0,78.0
1103,213.0,1618413699.0,100.0,1618413984.0,113.0
1105,410.0,1618414124.0,301.0,1618413336.0,109.0
1107,1220.0,1618412979.0,906.0,1618387653.0,314.0
1109,3500.0,1618412239.0,1100.0,1618414237.0,2400.0
1111,2709.0,1618414160.0,2631.0,1618414417.0,78.0
1113,29504.0,1618414454.0,29504.0,1618414456.0,0.0
1115,200.0,1618413789.0,146.0,1618414014.0,54.0
1117,89.0,1618411386.0,59.0,1618414154.0,30.0
1119,894.0,1618414075.0,882.0,1618414447.0,12.0
1121,2775.0,1618414368.0,2750.0,1618414431.0,25.0
1123,9549.0,1618414077.0,9500.0,1618414459.0,49.0
1125,3600.0,1618414440.0,3413.0,1618414362.0,187.0
1127,38650.0,1618414446.0,38471.0,1618414433.0,179.0
1129,97.0,1618414379.0,12.0,1618414005.0,85.0
1131,6.0,1618413060.0,10.0,1618413976.0,-4.0
1133,2950.0,1618414348.0,1200.0,1618413667.0,1750.0
1135,4248.0,1618414311.0,4220.0,1618414455.0,28.0
1137,100.0,1618413774.0,64.0,1618414066.0,36.0
1139,64.0,1618414418.0,40.0,1618413212.0,24.0
1141,63.0,1618414320.0,55.0,1618413979.0,8.0
1143,2500.0,1618414405.0,479.0,1618412750.0,2021.0
1145,933.0,1618414454.0,922.0,1618414352.0,11.0
1147,11248.0,1618414354.0,11001.0,1618414456.0,247.0
1149,58904.0,1618414432.0,58904.0,1618414457.0,0.0
1151,107.0,1618393575.0,71.0,1618404521.0,36.0
1153,130.0,1618414308.0,80.0,1618414386.0,50.0
1155,101.0,1618414116.0,100.0,1618414211.0,1.0
1157,149.0,1618414124.0,149.0,1618414231.0,0.0
1159,758.0,1618414317.0,725.0,1618414330.0,33.0
1161,1863.0,1618414260.0,1830.0,1618414423.0,33.0
1163,20720.0,1618414312.0,20610.0,1618414439.0,110.0
1165,288.0,1618414142.0,275.0,1618414237.0,13.0
1167,10.0,1618414435.0,3.0,1618414036.0,7.0
1169,49.0,1618414221.0,38.0,1618414450.0,11.0
1171,310.0,1618413959.0,255.0,1618414407.0,55.0
1173,50.0,1618413839.0,49.0,1618414343.0,1.0
1175,56.0,1618387117.0,50.0,1618413840.0,6.0
1177,178.0,1618413828.0,177.0,1618413550.0,1.0
1179,500.0,1618414260.0,459.0,1618414381.0,41.0
1181,678.0,1618414164.0,372.0,1618414250.0,306.0
1183,1928.0,1618414366.0,1860.0,1618414214.0,68.0
1185,22497.0,1618413341.0,22497.0,1618414432.0,0.0
1187,299850.0,1618414428.0,299837.0,1618414054.0,13.0
1189,85.0,1618411950.0,80.0,1618412727.0,5.0
1191,120.0,1618413911.0,80.0,1618414261.0,40.0
1193,298.0,1618413986.0,293.0,1618414192.0,5.0
1195,1150.0,1618414226.0,1075.0,1618414111.0,75.0
1197,1321.0,1618414125.0,1090.0,1618414437.0,231.0
1199,2943.0,1618414270.0,2950.0,1618414455.0,-7.0
1201,32150.0,1618414442.0,32040.0,1618414439.0,110.0
1203,50.0,1618411191.0,50.0,1618414163.0,0.0
1205,115.0,1618414322.0,69.0,1618414126.0,46.0
1207,170.0,1618414393.0,44.0,1618413911.0,126.0
1209,55.0,1618376772.0,66.0,1618414067.0,-11.0
1211,499.0,1618413171.0,267.0,1618414457.0,232.0
1213,4500.0,1618413834.0,4329.0,1618414459.0,171.0
1215,17792.0,1618414230.0,17467.0,1618414408.0,325.0
1217,146.0,1618414142.0,146.0,1618414089.0,0.0
1219,112.0,1618344319.0,30.0,1618340253.0,82.0
1221,230.0,1618352398.0,242.0,1617270096.0,-12.0
1223,238.0,1618105780.0,1.0,1616977762.0,237.0
1225,1.0,1618334802.0,1.0,1618157124.0,0.0
1227,552.0,1618175210.0,552.0,1618359186.0,0.0
1229,4400.0,1618379130.0,3892.0,1618363179.0,508.0
1231,18240.0,1618414001.0,17352.0,1618414233.0,888.0
1233,145.0,1618176783.0,10.0,1618334883.0,135.0
1237,342.0,1618414336.0,110.0,1618411373.0,232.0
1239,385.0,1618412722.0,2000.0,1618413533.0,-1615.0
1241,599.0,1618414272.0,16.0,1618412364.0,583.0
1243,900.0,1618414366.0,264.0,1618414257.0,636.0
1245,1279.0,1618414127.0,995.0,1618414223.0,284.0
1247,13000.0,1618414427.0,11900.0,1618414424.0,1100.0
1249,37789.0,1618414390.0,36600.0,1618414293.0,1189.0
1251,1202.0,1618341100.0,115.0,1618294770.0,1087.0
1253,13000.0,1618340973.0,2.0,1618346282.0,12998.0
1255,328.0,1618358987.0,418.0,1617980221.0,-90.0
1257,264.0,1618350536.0,2.0,1618362564.0,262.0
1259,800.0,1618391663.0,871.0,1618413922.0,-71.0
1261,17019.0,1618370903.0,17019.0,1618347775.0,0.0
1263,40428.0,1618372820.0,46916.0,1618387748.0,-6488.0
1265,55.0,1618414413.0,54.0,1618414370.0,1.0
1267,197.0,1618414350.0,185.0,1618414236.0,12.0
1269,138.0,1618414452.0,103.0,1618413799.0,35.0
1271,1580.0,1618414363.0,1563.0,1618414404.0,17.0
1273,389.0,1618413598.0,378.0,1618414300.0,11.0
1275,18950.0,1618414454.0,18703.0,1618414428.0,247.0
1277,39.0,1618414174.0,49.0,1618413597.0,-10.0
1279,91.0,1618402834.0,100.0,1618413292.0,-9.0
1281,200.0,1618414181.0,100.0,1618413811.0,100.0
1283,226.0,1618408306.0,197.0,1618414210.0,29.0
1285,600.0,1618409333.0,300.0,1618414040.0,300.0
1287,900.0,1618414032.0,890.0,1618413884.0,10.0
